bottleneck_dir,bottom-primary-color-white,bottom-primary-color-beige,bottom-primary-color-black,bottom-primary-color-brown,bottom-primary-color-grey,bottom-primary-color-blue,bottom-primary-color-navy,bottom-primary-color-teal,bottom-primary-color-green,bottom-primary-color-olive,bottom-primary-color-pink,bottom-primary-color-red,bottom-primary-color-maroon,bottom-primary-color-purple,bottom-primary-color-orange,bottom-primary-color-yellow,bottom-secondary-color-white,bottom-secondary-color-beige,bottom-secondary-color-black,bottom-secondary-color-brown,bottom-secondary-color-grey,bottom-secondary-color-blue,bottom-secondary-color-navy,bottom-secondary-color-teal,bottom-secondary-color-green,bottom-secondary-color-olive,bottom-secondary-color-pink,bottom-secondary-color-red,bottom-secondary-color-maroon,bottom-secondary-color-purple,bottom-secondary-color-orange,bottom-secondary-color-yellow,bottom-secondary-color-none,bottom-type-long pants,bottom-type-shorts,bottom-material-denim/jeans,bottom-material-cotton,bottom-material-dry-fit,denim-style-ripped,denim-style-acid-wash,denim-style-washed,bottom-patterns-animal-print,bottom-patterns-argyle,bottom-patterns-horizontal-stripe,bottom-patterns-vertical-stripe,bottom-patterns-checkered,bottom-patterns-dotted,bottom-patterns-floral,bottom-patterns-plaid,bottom-style-cargo,bottom-style-dress,bottom-style-chinos,bottom-style-sweatpants,bottom-style-none,bottom-fit-skinny-fit,bottom-fit-slim-fit,bottom-fit-regular-fit,bottom-fit-baggy
bottlenecks/Unlabelled Clothes/Bottoms/shorts537.jpg.txt,0.014039191,0.011725782,0.347549558,0.003389173,0.001402958,0.153686926,0.155868501,0.051625956,0.003592929,0.00075872,0.129992515,0.089048117,0.012177976,0.003862361,0.02121063,6.87E-05,0.014513332,0.001438475,0.005513522,0.000282542,0.003529222,0.0087588,0.000263489,2.55E-05,6.15E-06,0.00017432,0.002477518,0.009679458,3.53E-05,0.003788761,0.000671063,0.000323289,0.94851917,0.000276283,0.999723733,0.773204446,0.150749788,0.076045767,0.010243433,0.000902132,0.148046076,0.003738586,0.005294926,0.005625774,0.009439727,0.002869122,0.041663468,0.003304262,0.005681633,0.018828176,0.001685096,0.196518764,0.002092167,0.780875802,0.115791664,0.432886452,0.440803736,0.01051816
bottlenecks/Unlabelled Clothes/Bottoms/shorts319.jpg.txt,0.0267119,0.059683446,0.715507746,0.004874781,0.003552039,0.005761761,0.113236599,0.006856288,0.001608025,0.000683913,0.051320106,0.001571638,0.006198945,0.000519017,0.001651416,0.000262416,0.007758746,0.000177984,0.007096858,0.000853652,0.001442924,0.007069797,4.87E-06,1.77E-05,1.02E-06,5.79E-05,0.000491282,0.003329325,1.80E-06,0.001004256,0.001309098,4.61E-05,0.969336629,0.000428584,0.999571383,0.149911329,0.369921178,0.480167568,0,0,0,0.006333079,0.006075627,0.00384011,0.001195106,0.002027737,0.036783774,0.000389701,0.000210824,0.019559704,0.005467615,0.123498589,0.001204478,0.850269616,0.646766245,0.22869271,0.105911791,0.018629286
bottlenecks/Unlabelled Clothes/Bottoms/shorts333.jpg.txt,0.020499909,0.870836616,0.016490694,0.002805704,0.014341254,0.037092213,0.024820929,0.001208568,0.00016349,0.000734902,0.009888842,0.000543322,0.000222783,7.95E-05,0.000270645,7.99E-07,0.041764114,5.09E-05,0.132959589,0.006847835,0.024576655,0.046907093,6.89E-05,0.000194038,3.93E-06,0.000143424,0.032580845,0.018481055,5.94E-06,0.009423935,0.004415501,6.33E-05,0.681513012,0.000452703,0.999547303,0.195363626,0.46479401,0.339842409,0,0,0,0.001084668,0.003627332,0.009343709,0.019359279,0.003697728,0.014935225,0.000208238,0.000232435,0.080772661,0.000556226,0.035488937,0.000243875,0.882938325,0.114967287,0.16935885,0.638535023,0.077138759
bottlenecks/Clean clothes/Bottoms/shorts411.jpg.txt,0.001958989,0.001212311,0.774818182,0.008012479,0.00722533,0.006516576,0.013847083,0.046053726,0.000747746,0.000911408,0.007248572,0.097850688,0.021044999,0.006373331,0.006074769,0.000103801,0.006739656,0.0009517,0.001587001,0.000194945,0.002241993,0.000563989,0.000387203,2.16E-05,1.23E-06,0.000334356,0.000126218,0.00262049,2.24E-05,0.000207384,0.000612767,0.000535518,0.982851505,0.000473191,0.999526858,0.354187936,0.251944184,0.39386785,0,0,0,0.000408485,0.001095003,0.002395828,0.00132806,0.002500729,0.05476414,0.002193596,0.002529927,0.002219746,0.008063646,0.595937908,0.001593467,0.392185241,0.097725645,0.75974524,0.112575628,0.029953495
bottlenecks/Clean clothes/Bottoms/shorts301.jpg.txt,0.00472353,0.031931479,0.393718153,0.025310287,0.044472534,0.05741968,0.308682084,0.044334032,0.016488116,0.003343711,0.034350548,0.006128172,0.012808341,0.006147248,0.009916306,0.000225705,0.073366955,0.003214442,0.001892088,0.011524875,0.006526749,0.015983248,0.011368602,0.000278511,6.50E-05,0.012227482,0.00096844,0.033872366,0.000831408,0.00747743,0.008450925,0.004678562,0.807272911,0.000477001,0.999523044,0.078355022,0.658288479,0.263356447,0,0,0,0.011110135,0.021945333,0.017890347,0.013150559,0.007817893,0.243407294,0.021887636,0.004763541,0.005118172,0.027861837,0.34424296,0.003237146,0.619539857,0.098034807,0.792974711,0.096367352,0.01262314
bottlenecks/Clean clothes/Bottoms/shorts322.jpg.txt,0.04317303,0.111681558,0.286754757,0.056568693,0.246058911,0.083882317,0.045493383,0.005043133,0.004958303,0.04371186,0.003191655,0.014915327,0.02211915,0.017855905,0.014583387,8.68E-06,0.296589643,0.00014535,0.005991108,0.000558756,0.001757641,0.001656597,7.09E-06,4.65E-06,5.59E-06,0.000523118,0.641198576,0.002253228,2.57E-07,0.001319285,0.000202668,3.30E-05,0.047753483,0.000662141,0.999337852,0.176179841,0.739915013,0.08390522,0,0,0,0.000746878,0.002913947,0.001573674,0.002872682,0.00266531,0.129246488,0.00268133,0.002665274,0.003155431,0.012235915,0.557968915,0.009948284,0.416691601,0.009236814,0.730844736,0.240858957,0.019059505
bottlenecks/Clean clothes/Bottoms/shorts382.jpg.txt,0.012711042,0.037257262,0.138317764,0.007544477,0.015379827,0.003141068,0.007224044,0.023095001,0.002636144,0.105827384,0.002776202,0.014382489,0.002648386,0.623179376,0.003847158,3.23E-05,0.000458134,0.000139112,0.000792202,0.000265589,0.000178807,4.37E-05,9.20E-06,4.00E-06,3.73E-06,0.000018678,4.03E-05,0.000226844,1.80E-07,3.17E-05,0.000479834,1.10E-05,0.997296989,0.000672657,0.999327421,0.674984276,0.099163517,0.225852191,0.003959103,0.000195588,0.020261638,0.002202957,0.000953967,0.001710865,0.001166339,0.000447352,0.003601576,0.000211274,0.000411055,0.003610506,0.002232799,0.888886333,0.000815645,0.104454763,0.03380185,0.893429518,0.05207406,0.020694604
bottlenecks/Unlabelled Clothes/Bottoms/shorts387.jpg.txt,0.075083658,0.037986513,0.300096005,0.012601067,0.03863341,0.039268211,0.101475783,0.087116607,0.005585578,0.002255445,0.246371791,0.016645111,0.031104101,0.002125804,0.003552315,9.85E-05,0.024092212,0.000403178,0.006760656,0.000379211,0.004029199,0.000455682,0.00012668,2.72E-05,1.46E-05,0.000222808,0.000333281,0.014640968,2.26E-06,0.003596091,0.001180977,0.000196558,0.943538487,0.001028208,0.99897182,0.131804168,0.661263406,0.206932336,0,0,0,0.007805025,0.010164936,0.00423626,0.003641915,0.002905394,0.008701919,0.008730545,0.002768734,0.005290288,0.042713571,0.652517438,0.010247034,0.289231747,0.216769129,0.690402389,0.085592188,0.007236238
bottlenecks/Unlabelled Clothes/Bottoms/shorts522.jpg.txt,0.041720752,0.070500277,0.239689514,0.025188888,0.004828696,0.045875609,0.021317383,0.106075138,0.003967538,0.003976474,0.368993551,0.002712839,0.05932986,0.002804008,0.002993489,2.60E-05,0.058479238,0.003836661,0.027119059,0.001499354,0.010253773,0.00104581,4.17E-05,0.000125391,4.64E-06,0.000287683,0.005082283,0.007801906,4.15E-05,0.013935879,0.002965038,0.000360945,0.867119074,0.001108263,0.998891771,0.597640336,0.308153927,0.094205797,0.009481453,0.003541174,0.201680213,0.002311315,0.004624779,0.008516753,0.007543338,0.00363327,0.018585568,0.001329264,0.003148256,0.116534926,0.009321584,0.247351378,0.001620352,0.625171721,0.216235906,0.361024827,0.401732355,0.021006884
bottlenecks/Clean clothes/Bottoms/shorts325.jpg.txt,0.045783714,0.074021682,0.341377139,0.106286347,0.2543073,0.008120362,0.060219102,0.017827345,0.004477349,0.039255224,0.013005863,0.004343788,0.007338689,0.017750884,0.005213465,0.000671715,0.30376339,0.001610491,0.293776393,0.003363356,0.019726459,0.001733788,0.000142091,1.66E-05,0.000112052,0.089780718,0.015746338,0.020516777,1.90E-06,0.003221786,0.004968687,0.000524458,0.240994752,0.001245168,0.998754859,0.164428353,0.629615367,0.20595631,0,0,0,0.002700986,0.003174054,0.002702005,0.008407348,0.003049222,0.330539554,0.005794349,0.005180787,0.004477705,0.03111043,0.421967,0.002316846,0.540128052,0.060007229,0.710264087,0.210185513,0.019543227
