bottleneck_dir,top-primary-color-white,top-primary-color-beige,top-primary-color-black,top-primary-color-brown,top-primary-color-grey,top-primary-color-blue,top-primary-color-navy,top-primary-color-teal,top-primary-color-green,top-primary-color-olive,top-primary-color-pink,top-primary-color-red,top-primary-color-maroon,top-primary-color-purple,top-primary-color-orange,top-primary-color-yellow,top-secondary-color-white,top-secondary-color-beige,top-secondary-color-black,top-secondary-color-brown,top-secondary-color-grey,top-secondary-color-blue,top-secondary-color-navy,top-secondary-color-teal,top-secondary-color-green,top-secondary-color-olive,top-secondary-color-pink,top-secondary-color-red,top-secondary-color-maroon,top-secondary-color-purple,top-secondary-color-orange,top-secondary-color-yellow,top-secondary-color-none,top-type-short-sleeve-t-shirt,top-type-long-sleeve-t-shirt,top-type-short-sleeve-shirt,top-type-long-sleeve-shirt,top-type-singlet,top-type-polo,t-shirt-style-graphic-text,t-shirt-style-graphic-image,t-shirt-style-round-neck,t-shirt-style-henley,t-shirt-style-pocket,t-shirt-fit-slim-fit,t-shirt-fit-longline,t-shirt-fit-baggy,t-shirt-fit-regular,shirt-style-oxford,shirt-style-dress,shirt-style-graphic,shirt-style-pocket,shirt-style-granddad-collar,shirt-fit-slim-fit,shirt-fit-regular-fit,top-patterns-animal-print,top-patterns-argyle,top-patterns-horizontal-stripe,top-patterns-vertical-stripe,top-patterns-checkered,top-patterns-dotted,top-patterns-floral,top-patterns-plaid,top-material-denim,top-material-dry-fit,top-material-cotton
bottlenecks/Clean clothes/Tops/graphictshirts304.jpg.txt,0.141637459,0.019868482,0.593740881,0.007077154,0.080764502,0.022645984,0.059006691,0.02240761,0.002754773,0.001769401,0.004546126,0.00478384,0.003264552,0.035233632,0.000277903,0.000221091,0.502362549,0.004814831,0.038951717,0.002062429,0.218335301,0.040826969,0.016983867,0.011297413,0.002695286,0.000823551,0.007190927,0.003473487,0.002162987,0.004887343,0.001478096,0.003600128,0.138053164,0.98211652,8.70E-05,0.013379897,5.89E-06,2.41E-05,0.004386654,0.045234431,0.124823406,0.913046837,0.008541537,0.049495094,0.09390574,0.034109335,0.048519835,0.823465049,0,0,0,0,0,0,0,0.001684154,0.001221281,0.042963103,0.002178695,0.010037518,0.084683865,0.019736068,0.000151109,0.004676626,0.002285001,0.993038356
bottlenecks/Clean clothes/Tops/solidtshirts294.jpg.txt,0.011340466,0.008294173,0.072534874,0.026301725,0.374852657,0.074796997,0.117471583,0.037173357,0.025325935,0.011862502,0.0192449,0.130614191,0.055478435,0.031233147,0.00173102,0.001744005,0.077253602,0.020969236,0.399932116,0.005907734,0.049248606,0.021982698,0.027801035,0.013873678,0.028644936,0.00183817,0.01045478,0.046772741,0.017548177,0.005928854,0.02171462,0.016617356,0.233511597,0.985272348,0.00829028,6.55E-05,0.000000802,0.000294533,0.006076472,0.068022482,0.212807253,0.968766153,0.008375403,0.099464156,0.13192144,0.169162944,0.056198839,0.642716765,0,0,0,0,0,0,0,0.003765176,0.009590353,0.095376492,0.002276991,0.009389037,0.016612923,0.01403124,0.000427597,0.022326075,0.00432288,0.973351061
bottlenecks/Clean clothes/Tops/shortsleeveshirts222.jpg.txt,0.013099439,0.004575401,0.001601173,0.001062997,0.038252447,0.729139566,0.052227389,0.076560475,0.011254761,0.001332969,0.039055485,0.003879354,0.001310649,0.021371741,0.000337768,0.004938293,0.007015305,0.001584509,0.001289465,0.000143729,0.002721272,0.00538384,0.002675156,7.24E-05,5.82E-05,0.000425818,5.55E-05,0.000393695,0.000103318,0.000123168,0.000327374,0.000262425,0.977364719,0.005592166,0.000678841,0.49695456,0.457757354,0.000210174,0.038806882,0,0,0,0,0,0,0,0,0,0.537081361,0.12237411,0.001834103,0.307914525,0.032463729,0.918926179,0.081073798,0.001454034,0.00162172,0.015347756,0.029594015,0.004262523,0.118155509,0.01595746,0.004334335,0.047497548,0.001945184,0.950557292
bottlenecks/Clean clothes/Tops/solidtshirts144.jpg.txt,0.009858079,0.010697121,0.035431076,0.01014168,0.237957031,0.327731222,0.175095275,0.09944351,0.022614552,0.008850253,0.008831713,0.001850922,0.003253455,0.04569485,0.000668545,0.001880717,0.05785979,0.004385807,0.03598439,0.001139305,0.031800725,0.016520923,0.008735038,0.023143705,0.006144074,0.001025412,0.007301768,0.016170537,0.00235283,0.024667569,0.007150943,0.014706011,0.740911186,0.992139518,0.001084556,0.000268713,9.13E-08,0.000336681,0.006170471,0.011725461,0.164073348,0.880387545,0.013453502,0.400016785,0.060752187,0.073712438,0.080062643,0.785472691,0,0,0,0,0,0,0,0.002472017,0.00628849,0.022696588,0.001962526,0.012839392,0.01339603,0.006530786,0.000318625,0.013812677,0.002966508,0.983220816
bottlenecks/Clean clothes/Tops/stripedtshirts5.jpg.txt,0.075765908,0.006136479,0.008994006,0.012988821,0.859100878,0.003222731,0.016887836,0.00911811,0.00542115,0.000235582,0.000480959,8.68E-05,2.58E-05,0.001345224,0.000148409,4.14E-05,0.04388966,0.002859033,0.845244169,0.001744668,0.020289408,0.029886449,0.00137908,0.005831391,0.003248358,0.00279932,0.000102502,0.001134214,0.001109702,0.009557915,0.00109849,0.000990463,0.028835194,0.874406219,0.053854164,0.002664118,0.000154833,0.007374788,0.061546017,0.034274876,0.090748489,0.858272016,0.012112202,0.097388662,0.138880849,0.053016566,0.018419694,0.789682806,0,0,0,0,0,0,0,0.003236089,0.012175531,0.482797802,0.004801794,0.008307057,0.008434952,0.003746741,0.000223642,0.0203305,0.021215364,0.958454132
bottlenecks/Clean clothes/Tops/graphictshirts1287.jpg.txt,0.033027802,0.007514749,0.350513369,0.011069261,0.276382327,0.01520426,0.151139855,0.02419061,0.005741194,0.006972658,0.000916231,0.007293421,0.012260689,0.093457617,0.00265131,0.001664593,0.516490459,0.064302035,0.191083804,0.007699289,0.105192103,0.011498084,0.010731302,0.01145245,0.006820047,0.001903877,0.019753818,0.025217468,0.002638189,0.00563263,0.010888868,0.002215708,0.006479977,0.999658108,0.00014381,6.30E-06,4.42E-08,1.46E-05,0.000177191,0.969823003,0.389189959,0.995539606,0.001825337,0.016208977,0.091676593,0.020516807,0.024453642,0.863353014,0,0,0,0,0,0,0,0.000807068,0.004161296,0.009094658,0.000725987,0.001743485,0.007620157,0.003846251,0.000268649,0.005399165,0.003189727,0.99141109
bottlenecks/Clean clothes/Tops/graphictshirts802.jpg.txt,0.055556465,0.030826431,0.591621459,0.065914691,0.084624834,0.019401016,0.02142583,0.012367133,0.003177663,0.019286826,0.022484679,0.044588797,0.001940023,0.02609174,0.000635853,5.65E-05,0.175308958,0.003592892,0.054859333,0.065217443,0.474319279,0.001053692,0.001916026,0.014825241,0.00244563,0.004138961,0.004344648,0.012836639,0.000989802,0.017718665,0.052341152,0.008513582,0.10557808,0.992661595,0.000222019,0.00085241,5.34E-05,0.000102007,0.006108566,0.025248222,0.216030553,0.932514429,0.016425636,0.02617036,0.221222639,0.042362131,0.045047976,0.691367269,0,0,0,0,0,0,0,0.001104536,0.000584766,0.067227818,0.010283816,0.008057127,0.387882114,0.090492129,0.00035813,0.010777113,0.019841719,0.969381213
bottlenecks/Clean clothes/Tops/printedshirts231.jpg.txt,0.005530853,0.006561934,0.005941632,0.000716961,0.059638094,0.824436605,0.030198395,0.003218939,0.024012467,0.001161359,0.016593421,0.016778981,0.001358019,0.002943841,0.00018151,0.000726998,0.060090933,0.00473645,0.016204288,0.000962665,0.053156953,0.003093539,0.001787251,7.85E-05,0.007515871,0.014009393,0.000159633,0.003462096,0.001091458,0.000186895,0.001505142,0.000338013,0.831620932,0.002221048,0.010204228,0.001286954,0.985958993,2.47E-05,0.000303984,0,0,0,0,0,0,0,0,0,0.061799057,0.563740432,0.008420138,0.206434012,0.015536806,0.343823671,0.656176329,0.002094818,0.004226981,0.270883262,0.664382696,0.313300163,0.029496187,0.042358033,0.012846364,0.006205448,0.004512988,0.989281535
bottlenecks/Clean clothes/Tops/singlets57.jpg.txt,0.041543644,0.017043689,0.000908604,0.008095493,0.838467538,0.033101082,0.00213302,0.010656803,0.001110351,0.000933902,0.014317502,0.024394503,0.000428348,0.005185228,0.000670771,0.00100946,0.233192429,0.003635471,0.122623406,0.007549952,0.173698261,0.025152136,0.054564197,0.028470134,0.002875593,0.010877282,0.000629916,0.013269828,0.003138854,0.01540628,0.008628206,0.000231793,0.296056271,0.038021907,0.006593594,2.35E-05,4.40E-07,0.952637553,0.002723056,0.026120655,0.15241836,0.863091052,0.014287628,0.13154608,0.516439438,0.24520129,0.060427398,0.17793183,0,0,0,0,0,0,0,0.002768017,0.00835263,0.355108529,0.00783125,0.005428182,0.02557583,0.006286604,0.000452288,0.002504333,0.029018235,0.968477488
bottlenecks/Clean clothes/Tops/printedshirts23.jpg.txt,0.012042718,0.469326258,0.00150525,0.001934146,0.281891704,0.081874311,0.083639607,0.01730662,0.014976746,0.002492898,0.005352299,0.007115735,0.00289274,0.015929593,0.00047011,0.001249232,0.012476679,9.67E-05,0.006045527,0.000331286,0.000792074,0.008433823,0.021543793,0.003222314,0.000620976,0.001341775,0.000241065,0.003906421,0.000698475,0.000647966,0.000394702,0.000944779,0.938261628,0.009895139,0.23469986,0.015398501,0.739078701,0.000266968,0.000660827,0,0,0,0,0,0,0,0,0,0.114909709,0.043686818,0.000475005,0.387282968,0.035735603,0.95663619,0.04336378,0.003374748,0.000458951,0.002503643,0.011631568,0.001508709,0.006138642,0.012812068,0.000442288,0.036581829,0.012175688,0.951242507
