bottleneck_dir,bottom-primary-color-white,bottom-primary-color-beige,bottom-primary-color-black,bottom-primary-color-brown,bottom-primary-color-grey,bottom-primary-color-blue,bottom-primary-color-navy,bottom-primary-color-teal,bottom-primary-color-green,bottom-primary-color-olive,bottom-primary-color-pink,bottom-primary-color-red,bottom-primary-color-maroon,bottom-primary-color-purple,bottom-primary-color-orange,bottom-primary-color-yellow,bottom-secondary-color-white,bottom-secondary-color-beige,bottom-secondary-color-black,bottom-secondary-color-brown,bottom-secondary-color-grey,bottom-secondary-color-blue,bottom-secondary-color-navy,bottom-secondary-color-teal,bottom-secondary-color-green,bottom-secondary-color-olive,bottom-secondary-color-pink,bottom-secondary-color-red,bottom-secondary-color-maroon,bottom-secondary-color-purple,bottom-secondary-color-orange,bottom-secondary-color-yellow,bottom-secondary-color-none,bottom-type-long pants,bottom-type-shorts,bottom-material-denim/jeans,bottom-material-cotton,bottom-material-dry-fit,denim-style-ripped,denim-style-acid-wash,denim-style-washed,bottom-patterns-animal-print,bottom-patterns-argyle,bottom-patterns-horizontal-stripe,bottom-patterns-vertical-stripe,bottom-patterns-checkered,bottom-patterns-dotted,bottom-patterns-floral,bottom-patterns-plaid,bottom-style-cargo,bottom-style-dress,bottom-style-chinos,bottom-style-sweatpants,bottom-style-none,bottom-fit-skinny-fit,bottom-fit-slim-fit,bottom-fit-regular-fit,bottom-fit-baggy
bottlenecks/Clean clothes/Bottoms/shorts73.jpg.txt,0.012076058,0.085793577,0.381011546,0.328346372,0.071531802,0.038849723,0.020956352,0.003321451,0.005358757,0.016846364,0.002979643,0.001568854,0.020657966,0.001943603,0.008644798,0.00011312,0.001982302,0.00139217,0.00326731,0.000165385,0.001292117,7.51E-05,2.28E-05,3.66E-05,3.99E-06,0.000122234,0.000268038,0.001294351,2.35E-06,0.000223036,0.000197393,0.000060725,0.989594102,0.0048017,0.995198309,0.692139924,0.169075146,0.138784885,0.007063508,0.001338115,0.018241566,0.000694013,0.000386204,0.001038389,0.00150458,0.000497781,0.009056013,0.000482003,0.001154456,0.001852233,0.015580164,0.696550429,0.004189776,0.281827301,0.082492858,0.820544541,0.085413717,0.011548926
bottlenecks/Clean clothes/Bottoms/pants425.jpg.txt,0.002574295,0.001135878,0.871447921,0.002119127,0.01540451,0.001406505,0.064620383,0.001280762,0.004500447,0.012005216,0.000269479,0.000777502,0.010264724,0.004581973,0.007572,3.91E-05,0.019070197,9.73E-05,0.005869281,0.00228106,0.027432986,6.10E-05,3.80E-05,5.08E-05,4.64E-05,0.00020788,0.000536048,0.000313824,3.80E-06,0.000269584,0.000183968,0.000046681,0.943491221,0.688026071,0.311973929,0.437811881,0.368488967,0.193699151,0.037717518,0.000653997,0.013532378,0.002398392,0.000885605,0.001742316,0.012622144,0.006140595,0.004965448,0.015138277,0.007168515,0.027861547,0.089009084,0.013928508,0.30939132,0.559809506,0.011564103,0.856160045,0.103852533,0.028423375
bottlenecks/Clean clothes/Bottoms/shorts282.jpg.txt,0.006839422,0.012847161,0.082973249,0.007457029,0.125247225,0.373488188,0.36647749,0.005425071,0.001454088,0.005746177,0.001207657,0.000867401,0.004269504,0.002078206,0.003528138,0.000094052,0.007784911,9.28E-05,0.02165452,0.000586309,0.00131227,0.000639948,1.26E-05,0.000205032,0.000028541,0.000217491,0.008105884,0.002502963,2.40E-06,0.000946315,0.000346202,0.000498511,0.955063343,0.015731061,0.984268904,0.106024705,0.8059479,0.088027425,0,0,0,0.000604618,0.00276344,0.01718137,0.003802872,0.003281754,0.004989632,0.001320899,0.00099085,0.003215796,0.003833022,0.058035102,0.000764613,0.934151411,0.144688949,0.773467898,0.071954377,0.009888748
bottlenecks/Clean clothes/Bottoms/pants470.jpg.txt,0.000144929,0.000144185,0.597613335,0.000203134,0.344599456,0.001973153,0.044676077,0.001061302,0.000285467,0.004347286,2.40E-05,1.32E-05,0.001851823,0.00287136,0.000140945,5.04E-05,0.000378423,1.56E-05,0.001103191,3.04E-05,0.004161595,0.000007133,0.000005045,0.000139893,5.01E-05,0.000054675,1.92E-06,0.000902823,9.39E-06,9.19E-05,5.10E-05,2.30E-05,0.992973805,0.98997128,0.010028651,0.801176906,0.178668723,0.020154418,0.260843545,0.007000738,0.046130061,0.021205353,0.001257123,0.006143109,0.015066407,0.005493408,0.000473012,0.01431582,0.004973217,0.001808417,0.620462775,0.019910185,0.064482085,0.293336541,0.043209046,0.743886352,0.190521702,0.022382824
bottlenecks/Clean clothes/Bottoms/pants207.jpg.txt,0.001063247,0.004351138,0.684527874,0.002154618,0.166341648,0.018792452,0.080722123,0.002855547,0.001014422,0.003495901,0.000415754,0.000963465,0.007411795,0.019124106,0.006741141,2.47E-05,0.000229778,0.000156438,0.00250462,0.000283586,0.009669374,0.00021155,2.54E-05,2.85E-05,5.96E-06,2.58E-05,1.28E-05,0.001790827,0.000005356,0.000110457,0.000261445,2.19E-05,0.984656274,0.973672032,0.02632799,0.713384032,0.223581493,0.063034467,0.090664774,0.01891751,0.044896055,0.007244144,0.000122617,0.001427496,0.007283014,0.02466326,0.001120752,0.001319052,0.001758475,0.003196902,0.030589333,0.138647765,0.072933048,0.75463289,0.05636109,0.481482863,0.443999887,0.018156093
bottlenecks/Clean clothes/Bottoms/jeans43.jpg.txt,0.000233981,0.000658864,0.082407534,0.000569603,0.20619154,0.074719593,0.622586846,0.003528577,0.003325587,0.000724594,0.000310146,9.15E-05,0.001481992,0.001345829,0.0015511,0.000272827,0.00030282,0.000140354,0.002458765,0.000207918,0.002763256,0.000155263,1.93E-05,6.09E-05,7.28E-05,4.32E-05,5.51E-06,0.001728899,5.81E-05,0.000328715,0.000386406,7.84E-05,0.991189361,0.990848541,0.009151457,0.709417164,0.085386135,0.205196708,0.231520131,0.044240918,0.295664877,0.036684115,0.002739687,0.01880076,0.030855434,0.045938328,0.002380566,0.024924504,0.008686142,0.002556963,0.062867291,0.022735294,0.005997786,0.905842602,0.217105031,0.485273421,0.263831675,0.033789877
bottlenecks/Clean clothes/Bottoms/shorts138.jpg.txt,0.001477764,0.003923644,0.254817069,0.008795064,0.048466571,0.063105524,0.395000219,0.010745327,0.006180623,0.035183445,0.004078307,0.043644965,0.082032077,0.018745668,0.023515364,0.000288375,0.002621731,0.000982685,0.00044629,0.000151801,0.000121913,0.000120394,3.55E-05,1.00E-05,2.98E-06,8.11E-05,0.000105099,0.000514066,4.48E-06,8.00E-05,7.88E-05,7.61E-05,0.994567037,0.005662117,0.994337857,0.801857412,0.156840637,0.041301973,0.009094323,0.000342944,0.036899202,0.001299156,0.000704614,0.00238965,0.002925423,0.00044996,0.013347177,0.001581804,0.000596348,0.00154798,0.004428143,0.803614974,0.009665389,0.180743545,0.077227391,0.861621738,0.042362478,0.018788423
bottlenecks/Clean clothes/Bottoms/jeans261.jpg.txt,0.000265641,0.001493249,0.381944329,0.002951166,0.440588623,0.023893384,0.107174546,0.014141535,0.006935324,0.008769915,0.000246684,5.28E-05,0.002109862,0.006405671,0.002879913,0.000147369,0.00021017,0.000160695,0.005798872,0.00017533,0.041190133,0.000107489,6.50E-05,0.000205477,4.16E-05,0.000199766,4.35E-05,0.001494058,4.78E-05,0.000391954,4.67E-05,0.000139599,0.949681819,0.994074941,0.005924985,0.868614972,0.091310076,0.04007493,0.115895227,0.014494177,0.064361826,0.008770205,0.002816344,0.00470468,0.048521511,0.018878555,0.000935103,0.011563926,0.010519021,0.015075475,0.173629418,0.044500742,0.106241167,0.660553157,0.033800252,0.842226327,0.114347018,0.009626372
bottlenecks/Clean clothes/Bottoms/shorts324.jpg.txt,0.000238293,0.003993449,0.140344828,0.00688235,0.49423179,0.054076806,0.251218051,0.02160478,0.004778541,0.011631892,0.00021249,0.000240587,0.001427977,0.006561577,0.002343119,0.000213538,0.002814237,0.000107907,0.005536982,0.000584354,0.025949046,0.00025202,0.000150181,0.000286293,2.64E-05,0.000242403,4.13E-05,0.001532117,2.09E-05,0.000704937,0.000410809,0.000296293,0.961043775,0.158298373,0.841701627,0.085141368,0.896502435,0.018356236,0,0,0,0.012524694,0.001481775,0.004269461,0.027330311,0.005649195,0.009995691,0.005128354,0.009653636,0.002381682,0.027572004,0.162691757,0.020318626,0.787035883,0.044205748,0.864767492,0.082690842,0.008335901
bottlenecks/Clean clothes/Bottoms/pants262.jpg.txt,0.000720487,0.00100818,0.619293213,0.002484469,0.20204629,0.004802885,0.116627961,0.001564438,0.002879353,0.018738646,7.42E-05,0.000438436,0.004524649,0.022634566,0.001976212,0.000185929,0.000206293,2.06E-05,0.001242024,3.98E-05,0.000277717,2.76E-06,1.40E-06,0.000054443,5.21E-06,2.59E-05,2.09E-06,0.000386821,2.99E-06,1.32E-05,0.000017341,9.65E-06,0.997691751,0.997700632,0.002299365,0.702291071,0.266089737,0.03161915,0.166071728,0.003417026,0.026922397,0.006348994,0.000490379,0.003854785,0.010102015,0.005891538,0.000563247,0.004288167,0.001318449,0.001496119,0.760545611,0.015377921,0.064545557,0.158034742,0.22386314,0.676140189,0.087679423,0.01231718
