bottleneck_dir,shoes-primary-color-white,shoes-primary-color-beige,shoes-primary-color-black,shoes-primary-color-brown,shoes-primary-color-grey,shoes-primary-color-blue,shoes-primary-color-navy,shoes-primary-color-teal,shoes-primary-color-green,shoes-primary-color-olive,shoes-primary-color-pink,shoes-primary-color-red,shoes-primary-color-maroon,shoes-primary-color-purple,shoes-primary-color-orange,shoes-primary-color-yellow,shoes-secondary-color-white,shoes-secondary-color-beige,shoes-secondary-color-black,shoes-secondary-color-brown,shoes-secondary-color-grey,shoes-secondary-color-blue,shoes-secondary-color-navy,shoes-secondary-color-teal,shoes-secondary-color-green,shoes-secondary-color-olive,shoes-secondary-color-pink,shoes-secondary-color-red,shoes-secondary-color-maroon,shoes-secondary-color-purple,shoes-secondary-color-orange,shoes-secondary-color-yellow,shoes-secondary-color-none,shoes-type-boat/loafer,shoes-type-boots,shoes-type-sneakers,shoes-type-sport,shoes-type-sandals,shoes-type-dress-shoes,shoes-type-casual-shoes,shoes-others-toe-cap,shoes-others-gum-sole,shoes-others-with-logo,shoes-others-high-cut,shoes-materials-leather,shoes-materials-canvas,shoes-materials-suede,shoes-materials-rubber
bottlenecks/Clean clothes/Shoes/shoes162.jpg.txt,0.001193122,0.001571563,0.928319633,0.019133924,0.027860353,0.001456983,0.007254707,0.000302388,0.000567553,0.001017758,0.000846701,0.001642095,0.008376888,0.000228299,2.69E-05,0.000201179,0.045239329,0.006628104,0.091894113,0.063665018,0.009537649,0.00343212,0.006227501,0.000187792,0.000375171,0.00019245,0.000299364,0.00347188,0.020143626,0.000330696,0.001412312,0.00183788,0.745125055,0.017453605,0.010315687,0.029052205,0.005296079,0.000569635,0.919816494,0.017496247,0.069548011,0.010190405,0.042729601,0.269107729,0.887737691,0.027893398,0.105105311,0.001222225
bottlenecks/Clean clothes/Shoes/shoes193.jpg.txt,0.071997151,0.393287033,0.072268441,0.272012949,0.13853924,0.00586068,0.019925252,0.000593385,0.002347127,0.012616164,0.005356298,0.002001894,0.000632833,0.000372983,0.001602158,0.000586337,0.099434041,0.048461665,0.045705982,0.154594734,0.013994598,0.011376001,0.010471745,0.004328851,0.009053345,0.002606466,0.000200664,0.001742695,0.000382115,2.61E-05,0.000555075,0.002480763,0.594585121,0.00141451,0.110150456,0.186814964,0.009086602,0.023693651,0.157782167,0.511057615,0.03444266,0.013573681,0.146100387,0.185706139,0.710433841,0.0638877,0.167416632,0.00389323
bottlenecks/Clean clothes/Shoes/shoes975.jpg.txt,0.002922573,0.000752858,0.977563441,0.000661799,0.007604923,0.000733713,0.004466842,0.000373303,0.000606445,0.000307766,0.000562735,0.001696455,0.000371523,0.001316864,4.37E-05,1.50E-05,0.285012752,0.007072032,0.076673135,0.011706408,0.001652423,0.00437349,0.005254193,1.16E-05,0.000949068,6.45E-06,0.000443896,0.002870326,0.000618531,7.41E-05,8.06E-06,0.001449228,0.601824284,0.002702271,0.184535697,0.607848764,0.13934049,0.000985045,0.027799368,0.036788434,0.098889932,0.003428959,0.406552047,0.870567918,0.119739905,0.104382649,0.449271232,0.000415475
bottlenecks/Clean clothes/Shoes/shoes1689.jpg.txt,0.040384948,0.037648384,0.025737083,0.068573438,0.102322333,0.034240425,0.013303732,0.012551066,0.044271689,0.462828547,0.009058788,0.013441674,0.02454894,0.003349436,0.008807568,0.098932013,0.3426691,0.032035328,0.041715551,0.011228433,0.45364666,0.026657639,0.021360805,0.000927638,0.002641359,0.000399798,0.000646389,0.036172263,0.001586444,0.000199715,0.002174667,0.002629477,0.023308775,3.23E-05,0.000963853,0.974067867,0.022570014,0.000373152,0.000288121,0.001704788,0.028008558,0.046906721,0.855053484,0.057093959,0.15799427,0.033098292,0.243697554,0.001118146
bottlenecks/Clean clothes/Shoes/shoes302.jpg.txt,0.059098274,0.016859964,0.167521805,0.177328393,0.168830469,0.010533315,0.263701439,0.024219336,0.011810062,0.039741013,0.029273994,0.017355772,0.007844427,0.002623365,0.002353011,0.000905386,0.398738056,0.023808485,0.026488926,0.09158349,0.014341138,0.001867842,0.001518562,0.000010974,0.002768619,0.00052466,0.000376738,0.009171639,0.001048361,2.46E-05,1.28E-05,0.008046653,0.419668466,0.060847107,0.006947225,0.510225356,0.019688807,0.035377219,0.007710994,0.359203279,0.070715264,0.027861713,0.168788776,0.09786129,0.070206732,0.095197715,0.719365835,0.008405638
bottlenecks/Clean clothes/Shoes/shoes2063.jpg.txt,0.003148143,0.004343085,0.857986629,0.057604902,0.050185207,0.003448081,0.012117282,0.000334171,0.000636713,0.00193404,0.001247412,0.004538586,0.001551446,0.000648773,7.47E-05,0.000200883,0.014590629,0.001169048,0.100200728,0.039480507,0.005957753,0.004973874,0.008080617,2.57E-05,0.00020677,3.37E-05,6.22E-05,0.004730277,0.000900606,0.000164708,0.00080146,0.001271901,0.817349494,0.001130426,0.080331601,0.039772328,0.001145605,0.000341879,0.854289174,0.022988943,0.037822623,0.021708518,0.022942938,0.628059447,0.940612376,0.031036019,0.111658879,0.000525435
bottlenecks/Clean clothes/Shoes/shoes455.jpg.txt,0.014654568,0.012634094,0.194650367,0.060412593,0.113948107,0.060363673,0.491446704,0.003118277,0.009134704,0.005595697,0.006805587,0.009568956,0.010585764,0.002503182,0.003519249,0.001058546,0.444830686,0.075722531,0.049787987,0.108160548,0.012616818,0.005659172,0.006379846,7.18E-05,0.001397149,0.000818417,0.000711465,0.007369804,0.000791324,0.000192572,0.002527302,0.00521797,0.277744561,0.029131318,0.001866942,0.643311501,0.033914004,0.020469096,0.107910894,0.163396224,0.01931081,0.030706842,0.268720746,0.038447078,0.132246092,0.198505476,0.424452007,0.005756072
bottlenecks/Clean clothes/Shoes/shoes789.jpg.txt,0.001801873,0.008425584,0.241359815,0.199298978,0.098957323,0.005682088,0.01621677,0.000882218,0.003275203,0.091678239,0.015380757,0.006485134,0.29099077,0.013489812,0.002720412,0.003355021,0.028604286,0.004917267,0.202371329,0.205570385,0.009267024,0.003473787,0.00943007,1.42E-05,0.008187305,6.65E-05,0.000105293,0.001985767,0.00446355,0.002004756,0.000481228,0.002117159,0.516940177,0.000192451,0.963268042,0.002590848,0.001374947,0.000367174,0.023030901,0.009175667,0.013533263,0.004833702,0.016786087,0.983525276,0.514951229,0.014086343,0.413372397,0.000360002
bottlenecks/Clean clothes/Shoes/shoes1393.jpg.txt,0.000583323,0.000255454,0.981796324,0.000926683,0.006811849,0.000235887,0.006887499,0.000112848,0.000475184,0.000919517,0.000596437,9.63E-05,0.000168405,3.64E-05,6.89E-05,2.89E-05,0.301764101,0.021479145,0.020635497,0.005894282,0.032808747,0.00311636,0.004677079,0.000525864,0.001031826,0.000477703,0.00184062,0.000683375,0.000421594,0.00058934,4.67E-06,0.008380077,0.595669687,0.004215492,0.005052344,0.271513045,0.681609392,0.023362784,0.009888383,0.004358553,0.077014767,0.007294596,0.551921904,0.063496821,0.10894718,0.397141099,0.042640951,0.014624711
bottlenecks/Clean clothes/Shoes/shoes134.jpg.txt,0.000518608,0.00220828,0.26492247,0.224148706,0.006406182,0.000702547,0.002547473,0.000201127,0.000304841,0.001094097,0.001277782,0.010028895,0.483382195,0.001344391,0.00016613,0.000746291,0.023393955,0.004956107,0.161990419,0.078877419,0.002143268,0.00062501,0.004237243,0.000504447,0.000203357,0.00046332,0.000111498,0.000143313,0.039239496,6.19E-05,8.29E-05,0.001624254,0.681342065,0.726047695,8.60E-05,0.002838601,0.002102213,0.000963529,0.261178076,0.00678384,0.010351579,0.007438618,0.042292841,0.015340839,0.904940188,0.019722285,0.120787069,0.002312151
