bottleneck_dir,top-primary-color-white,top-primary-color-beige,top-primary-color-black,top-primary-color-brown,top-primary-color-grey,top-primary-color-blue,top-primary-color-navy,top-primary-color-teal,top-primary-color-green,top-primary-color-olive,top-primary-color-pink,top-primary-color-red,top-primary-color-maroon,top-primary-color-purple,top-primary-color-orange,top-primary-color-yellow,top-secondary-color-white,top-secondary-color-beige,top-secondary-color-black,top-secondary-color-brown,top-secondary-color-grey,top-secondary-color-blue,top-secondary-color-navy,top-secondary-color-teal,top-secondary-color-green,top-secondary-color-olive,top-secondary-color-pink,top-secondary-color-red,top-secondary-color-maroon,top-secondary-color-purple,top-secondary-color-orange,top-secondary-color-yellow,top-secondary-color-none,top-type-short-sleeve-t-shirt,top-type-long-sleeve-t-shirt,top-type-short-sleeve-shirt,top-type-long-sleeve-shirt,top-type-singlet,top-type-polo,t-shirt-style-graphic-text,t-shirt-style-graphic-image,t-shirt-style-round-neck,t-shirt-style-henley,t-shirt-style-pocket,t-shirt-fit-slim-fit,t-shirt-fit-longline,t-shirt-fit-baggy,t-shirt-fit-regular,shirt-style-oxford,shirt-style-dress,shirt-style-graphic,shirt-style-pocket,shirt-style-granddad-collar,shirt-fit-slim-fit,shirt-fit-regular-fit,top-patterns-animal-print,top-patterns-argyle,top-patterns-horizontal-stripe,top-patterns-vertical-stripe,top-patterns-checkered,top-patterns-dotted,top-patterns-floral,top-patterns-plaid,top-material-denim,top-material-dry-fit,top-material-cotton
bottlenecks/Clothes/Tops/solidtshirts294.jpg.txt,0.0052308,0.00230705,0.01826,0.0103358,0.39454,0.0326329,0.0280759,0.0107451,0.0146476,0.0110031,0.00995414,0.331515,0.0507395,0.0733407,0.0045523,0.00212026,0.0562865,0.0119716,0.245531,0.00410351,0.0631992,0.0168256,0.0152663,0.00370645,0.0151979,0.00730608,0.0086893,0.0468001,0.00557669,0.00973148,0.0141725,0.0421025,0.433534,0.991977,0.00574624,4.67E-05,7.58E-07,6.45E-05,0.00216459,0.066167,0.181864,0.919955,0.0039642,0.14239,0.0165975,0.052565,0.0619754,0.868862,0,0,0,0,0,0,0,0.002756,0.00184196,0.0758373,0.00458714,0.00276453,0.00663306,0.00549182,0.0016805,0.00127111,0.00497473,0.993754
bottlenecks/Clothes/Tops/shortsleeveshirts222.jpg.txt,0.000515695,2.30E-05,0.000107729,1.14E-05,0.00378964,0.938269,0.0139662,0.0214248,0.000304469,0.000285189,0.000353928,0.000345065,4.17E-05,0.0204865,2.72E-05,4.87E-05,0.00304764,0.00014243,0.000616565,2.74E-05,0.00041089,0.00105532,0.000274693,0.000105826,1.65E-05,1.91E-05,2.36E-05,0.000320015,2.77E-06,0.000261079,4.63E-05,2.95E-05,0.9936,0.00300666,0.000165712,0.767811,0.177427,1.60E-05,0.0515738,0.0275898,0.0802078,0.0135742,0.497891,0.0311331,0.0195779,0.00121936,0.0101506,0.969052,0,0,0,0,0,0,0,0.00103573,0.00045865,0.0187706,0.00919825,0.00420321,0.0569907,0.0321912,0.00358406,0.0345759,0.000253711,0.96517
bottlenecks/Clothes/Tops/solidtshirts144.jpg.txt,0.0054367,0.00252041,0.0079627,0.000767452,0.440994,0.306012,0.0681918,0.101358,0.0125044,0.00370902,0.000965086,0.000721783,0.000498907,0.0480318,0.000161591,0.000163729,0.0397166,0.00129129,0.0258294,0.000603091,0.0313193,0.00540761,0.00312695,0.00162972,0.00144725,0.000250968,0.00154559,0.0051276,0.00102136,0.010886,0.00105673,0.00426607,0.865474,0.987896,0.000506566,0.00026262,1.15E-07,0.000921013,0.0104137,0.0180747,0.22071,0.775011,0.0181536,0.642304,0.0303802,0.0917436,0.07169,0.806186,0,0,0,0,0,0,0,0.00215543,0.00147846,0.0120957,0.00599621,0.00189546,0.00328583,0.00079642,0.000621963,0.0108651,0.0127417,0.976393
bottlenecks/Clothes/Tops/stripedtshirts5.jpg.txt,0.00591801,0.000710416,0.00149493,0.000116267,0.986204,0.00190322,0.00101085,0.000979125,0.00135817,2.00E-06,3.18E-06,6.72E-07,1.20E-06,0.000290775,6.91E-06,1.11E-07,0.0244852,0.00151264,0.767692,0.00236751,0.124001,0.00890935,0.000835243,0.00160822,0.000284816,0.00219754,7.08E-05,0.00260978,0.000143441,0.000535083,0.00127276,0.00181509,0.0596592,0.896905,0.0767836,0.00250769,7.17E-05,0.000580918,0.0231509,0.0128264,0.192471,0.740735,0.00210612,0.0505832,0.0176623,0.0220054,0.0476792,0.912653,0,0,0,0,0,0,0,0.00123782,0.000719282,0.818731,0.00833056,0.00084128,0.00187613,0.00113317,0.000301099,0.0792392,0.0358688,0.884892
bottlenecks/Clothes/Tops/graphictshirts1287.jpg.txt,0.0275501,0.00110865,0.465601,0.00401203,0.355361,0.0138579,0.0454089,0.0121483,0.0020232,0.00593872,0.00040011,0.00409149,0.00416945,0.0540026,0.00426299,6.31E-05,0.574883,0.00926946,0.176164,0.00820408,0.113089,0.0151285,0.0249429,0.00505927,0.00695404,0.000817696,0.00370911,0.0290901,0.0019463,0.00267123,0.008354,0.00614697,0.0135701,0.999122,0.000519923,1.92E-05,7.03E-07,1.49E-05,0.000322851,0.944146,0.464383,0.989486,0.000477203,0.0211405,0.224918,0.0143427,0.00513211,0.755607,0,0,0,0,0,0,0,0.000807037,0.00027767,0.00673237,0.00227528,0.000580263,0.00244668,0.0116412,0.000111227,0.00180855,0.000696615,0.997495
bottlenecks/Clothes/Tops/graphictshirts802.jpg.txt,0.0524192,0.00767589,0.454052,0.0057394,0.199897,0.0390902,0.00422105,0.0616935,0.00125907,0.00387146,0.000485888,0.0051899,0.000146971,0.163794,0.000464101,3.30E-07,0.0503611,0.00365348,0.224313,0.0024174,0.422919,0.00138423,0.000152466,0.00073273,0.000672683,0.00107333,5.66E-05,0.0342754,0.00588204,0.00182842,0.0165092,0.0224471,0.211322,0.996785,0.000466029,0.000973215,3.02E-05,2.52E-05,0.00172021,0.0148936,0.604086,0.962198,0.0183021,0.0119224,0.273572,0.0510313,0.0114639,0.663933,0,0,0,0,0,0,0,0.00120475,0.000780413,0.0308212,0.0063328,0.00385391,0.325794,0.00603537,0.000452121,0.00198505,0.0101668,0.987848
bottlenecks/Clothes/Tops/printedshirts231.jpg.txt,0.00281804,0.000425683,0.00309697,2.40E-06,0.00904112,0.933991,0.0168287,0.00103608,0.0110872,0.000780592,0.00787246,0.010492,0.000183032,0.00232383,1.14E-05,9.17E-06,0.0672272,0.00198975,0.00789499,2.86E-05,0.00739745,0.0117748,0.00243641,7.07E-05,0.000804653,0.00351654,8.67E-05,0.000571447,1.53E-05,0.00119622,0.000216051,0.000442288,0.894331,0.000197989,0.00935303,0.000903983,0.989292,6.54E-07,0.000252186,0,0,0,0,0,0,0,0,0,0.0722507,0.681503,0.000403994,0.204847,0.00478811,0.582971,0.417029,0.000925775,0.000865486,0.391988,0.787019,0.126381,0.00291291,0.00380854,0.0336146,7.65E-05,0.00176555,0.998158
bottlenecks/Clothes/Tops/singlets57.jpg.txt,0.00476441,0.000649116,0.000312924,0.000140132,0.932051,0.057004,0.000356501,0.000724818,2.85E-05,0.000155353,0.000230695,0.00128243,2.71E-05,0.00186313,0.000382721,2.71E-05,0.0515417,0.000389433,0.123605,0.00119217,0.229899,0.0220104,0.0273534,0.00328144,0.0138151,0.00661294,0.00218839,0.0112603,0.000116313,0.0348347,0.00737094,0.000901529,0.463628,0.00515644,0.00131964,2.09E-06,3.01E-07,0.993044,0.000477701,0.0166323,0.0979814,0.935372,0.001351,0.0214315,0.419037,0.0749489,0.00907344,0.49694,0,0,0,0,0,0,0,0.000421126,0.00378289,0.260256,0.0158282,0.0015576,0.00836958,0.0136744,0.00166362,0.000818208,0.0275971,0.971585
bottlenecks/Clothes/Tops/printedshirts23.jpg.txt,0.0176598,0.532297,0.00123039,0.000729753,0.285558,0.0596713,0.00580148,0.0585455,0.0134225,0.00837598,0.00150599,0.0045224,0.000714729,0.00491054,0.00499853,5.69E-05,0.00208409,1.25E-05,0.00210931,5.87E-05,0.000342903,0.00139878,0.000541138,0.000164482,3.42E-05,0.000337344,5.71E-05,0.0040403,0.000136712,0.000217699,8.00E-05,0.000205432,0.988179,0.00554382,0.0708971,0.0109576,0.911582,0.000112307,0.000907043,0,0,0,0,0,0,0,0,0,0.0908283,0.00732838,0.00226263,0.125285,0.318902,0.959759,0.0402415,0.000508242,0.000214584,0.000608518,0.00876724,0.00211869,0.00200121,0.00278832,0.00219987,0.00889194,0.00173926,0.989369
bottlenecks/Clothes/Tops/graphictshirts654.jpg.txt,0.918677,0.00689181,0.00206361,0.0001628,0.00605002,0.0174763,0.00481411,0.0348435,0.00034967,0.000621849,0.000801384,0.000477349,0.000283307,0.00523909,0.000512525,0.000735403,0.0360663,0.000664639,0.28984,0.00292014,0.0391063,0.0755567,0.0434518,0.00802892,0.0238705,0.00466312,0.00241084,0.034972,0.00291869,0.00890946,0.05162,0.0301497,0.344851,0.992056,0.00253897,0.00069344,1.22E-05,0.000424531,0.00427457,0.0600765,0.193061,0.926472,0.00303353,0.0636315,0.0224497,0.0155475,0.0158841,0.946119,0,0,0,0,0,0,0,0.00284192,0.00115351,0.00336599,0.0022324,0.000797503,0.00349403,0.00239419,0.000501531,0.000134291,0.00263954,0.997226
