bottleneck_dir,bottom-primary-color-white,bottom-primary-color-beige,bottom-primary-color-black,bottom-primary-color-brown,bottom-primary-color-grey,bottom-primary-color-blue,bottom-primary-color-navy,bottom-primary-color-teal,bottom-primary-color-green,bottom-primary-color-olive,bottom-primary-color-pink,bottom-primary-color-red,bottom-primary-color-maroon,bottom-primary-color-purple,bottom-primary-color-orange,bottom-primary-color-yellow,bottom-secondary-color-white,bottom-secondary-color-beige,bottom-secondary-color-black,bottom-secondary-color-brown,bottom-secondary-color-grey,bottom-secondary-color-blue,bottom-secondary-color-navy,bottom-secondary-color-teal,bottom-secondary-color-green,bottom-secondary-color-olive,bottom-secondary-color-pink,bottom-secondary-color-red,bottom-secondary-color-maroon,bottom-secondary-color-purple,bottom-secondary-color-orange,bottom-secondary-color-yellow,bottom-secondary-color-none,bottom-type-long pants,bottom-type-shorts,bottom-material-denim/jeans,bottom-material-cotton,bottom-material-dry-fit,denim-style-ripped,denim-style-acid-wash,denim-style-washed,bottom-patterns-animal-print,bottom-patterns-argyle,bottom-patterns-horizontal-stripe,bottom-patterns-vertical-stripe,bottom-patterns-checkered,bottom-patterns-dotted,bottom-patterns-floral,bottom-patterns-plaid,bottom-style-cargo,bottom-style-dress,bottom-style-chinos,bottom-style-sweatpants,bottom-style-none,bottom-fit-skinny-fit,bottom-fit-slim-fit,bottom-fit-regular-fit,bottom-fit-baggy
bottlenecks/Unlabelled Clothes/Bottoms/jeans395.jpg.txt,8.73E-05,0.005311051,0.738806665,0.004807231,0.030964308,0.176768974,0.031521447,0.002839174,0.000447789,0.007694772,6.35E-05,8.76E-06,0.000180389,0.000264449,0.00022879,5.36E-06,0.000179032,5.78E-06,0.002103044,2.65E-05,0.000688119,7.06E-06,6.51E-07,5.79E-05,7.28E-06,6.30E-06,1.79E-05,0.000305841,1.18E-06,4.34E-05,2.68E-05,0.000007082,0.996516109,0.932576835,0.06742318,0.780361891,0.184144229,0.035493836,0.134451583,0.000888947,0.564745724,0.001334664,0.000322246,0.002382404,0.000705814,0.000440759,4.29E-05,0.000941339,0.000580324,0.037393,0.052988261,0.014677099,0.009685245,0.88525635,0.053729769,0.57132405,0.358014762,0.016931435
bottlenecks/Unlabelled Clothes/Bottoms/shorts73.jpg.txt,0.065462135,0.236226067,0.078901134,0.036436487,0.11126928,0.208568752,0.03766574,0.018516908,0.002506889,0.024733936,0.070281528,0.017812545,0.022355905,0.008792779,0.060411517,5.84E-05,0.004067118,0.000154767,0.003160994,8.14E-05,0.000506767,1.32E-05,3.14E-05,1.94E-05,1.53E-06,1.21E-05,0.00053538,0.000476514,3.98E-07,0.000173411,3.09E-05,0.000103261,0.990631461,0.037331738,0.96266824,0.706426919,0.076988608,0.21658437,0.008476483,0.001208448,0.050612193,0.001097872,0.000540462,0.000620156,0.003724866,0.000789869,0.001694756,0.001759822,0.000254449,0.005375987,0.004198954,0.802610278,0.034585562,0.153229296,0.022408059,0.924087465,0.033987578,0.019516911
bottlenecks/Unlabelled Clothes/Bottoms/shorts553.jpg.txt,0.007514415,0.043968707,0.180393085,0.034443211,0.051163267,0.379117847,0.11088071,0.061749037,0.007038539,0.019997167,0.010266107,0.030913672,0.036592241,0.014334362,0.011518966,0.000108712,0.004408583,0.000152476,0.006170835,0.000662203,0.007662339,0.001018407,8.79E-05,9.74E-05,1.98E-05,0.000150898,0.000453195,0.001980656,1.55E-05,0.000719336,0.000278268,9.64E-05,0.97602582,0.030896993,0.969103038,0.538935781,0.42420733,0.036856946,0.033143949,0.001549508,0.071097203,0.013657433,0.006259875,0.008828988,0.022468457,0.002892568,0.01182856,0.003180655,0.020258766,0.032785803,0.021552917,0.570703089,0.017729035,0.357229173,0.066204131,0.516654611,0.395482749,0.021658551
bottlenecks/Unlabelled Clothes/Bottoms/chinos86.jpg.txt,0.522742629,0.283182055,0.026540706,0.073411189,0.024040021,0.009825097,0.002525139,0.006099741,0.001550476,0.022529939,0.011088939,0.000219556,0.011048576,0.001103073,0.004070893,2.20E-05,0.08480677,0.000312387,0.004623678,0.000896722,0.006923843,0.000345439,3.13E-05,0.000222371,3.14E-05,0.000150924,0.000837184,0.001113033,1.34E-05,0.003773023,0.000237858,9.30E-05,0.895587683,0.70508647,0.29491359,0.396040767,0.543233991,0.060725216,0,0,0,0.014632739,0.001746044,0.010135534,0.005010139,0.005315174,0.003946115,0.002152197,0.003224347,0.060955826,0.18854937,0.231256977,0.18832016,0.330917627,0.01251831,0.673279166,0.309764415,0.004438103
bottlenecks/Unlabelled Clothes/Bottoms/chinos72.jpg.txt,0.972492218,0.019676076,0.001325213,0.000295222,0.001578892,0.000409488,0.000287841,0.00034751,7.94E-05,0.000335666,0.001633293,3.39E-05,0.00111803,0.000304701,8.05E-05,2.03E-06,0.027833995,0.000106091,0.032490984,0.001617827,0.039511275,0.001577269,3.53E-06,0.000510547,0.000157553,0.000963937,0.00154027,0.003138426,8.02E-06,0.002400573,0.000477545,9.99E-05,0.887562335,0.986835599,0.013164422,0.426469415,0.247570753,0.325959861,0.076172061,0.005546721,0.026501019,0.02718119,0.054564357,0.005503284,0.004761625,0.032226756,0.00173904,0.003149846,0.023814078,0.232134998,0.330553144,0.016378854,0.064979285,0.355953813,0.091787174,0.475406319,0.393341422,0.03946507
bottlenecks/Unlabelled Clothes/Bottoms/jeans345.jpg.txt,0.071319781,0.059390359,0.188195407,0.026627557,0.369442254,0.007353135,0.031942766,0.001604014,0.016752614,0.023866748,0.028091587,0.001172815,0.024185225,0.114061952,0.035960015,3.38E-05,0.005097786,0.001138238,0.030277155,0.001110473,0.008654021,9.13E-05,0.000113071,9.54E-05,3.32E-05,0.000531079,6.91E-05,0.001956457,2.50E-05,0.00023283,0.000192942,7.59E-05,0.950306058,0.89449364,0.105506316,0.731652916,0.121539384,0.146807641,0.101024121,0.005324907,0.013119648,0.011776983,0.002243132,0.007697814,0.033182722,0.023113169,0.005311498,0.003722027,0.02011296,0.010546706,0.208894655,0.041460037,0.538443863,0.2006547,0.346920818,0.31373474,0.320916086,0.018428348
bottlenecks/Unlabelled Clothes/Bottoms/jeans1069.jpg.txt,0.006879888,0.035599519,0.510912895,0.0593681,0.257458389,0.002773859,0.010704383,0.000553108,0.003520128,0.064916648,0.010042589,0.000142993,0.026085829,0.008308799,0.002706154,2.67E-05,0.002378574,0.000015943,0.002505399,1.45E-05,0.000317561,4.27E-06,1.50E-06,1.86E-05,1.16E-06,1.52E-05,5.11E-06,5.91E-05,0.000000169,2.93E-05,8.96E-06,3.80E-06,0.994620681,0.974897981,0.025102006,0.857536078,0.128449529,0.014014406,0.031675566,0.000973774,0.006597939,0.001079892,0.000727611,0.004835767,0.00251313,0.001343755,0.000995989,0.000882914,0.001327431,0.011509095,0.239346117,0.128005818,0.561385751,0.059753142,0.090340272,0.544188023,0.341300517,0.02417114
bottlenecks/Unlabelled Clothes/Bottoms/shorts282.jpg.txt,0.000996548,0.005331066,0.921000481,0.00243812,0.011252679,0.00988386,0.020681994,0.011160964,0.000540484,0.001566759,0.008572004,0.00229566,0.00215646,0.000855649,0.001256246,1.10E-05,0.010819582,0.000103322,0.010697523,0.000126687,0.005693345,0.001330926,5.66E-05,1.42E-05,5.16E-06,0.000166243,0.001444956,0.002478237,1.27E-06,0.000868509,0.000741258,0.000113046,0.965339124,0.004505849,0.995494127,0.216150001,0.725352943,0.058497105,0,0,0,0.002876315,0.001168148,0.00266661,0.006444013,0.002780424,0.008274725,0.00044254,0.00061553,0.029215567,0.004584759,0.27270025,0.010756603,0.682742834,0.060372207,0.753331006,0.174022645,0.012274146
bottlenecks/Unlabelled Clothes/Bottoms/jeans435.jpg.txt,0.000189047,0.000246256,0.077274665,0.001849741,0.009502608,0.626262546,0.275707126,0.000383356,0.000745302,0.000264361,9.24E-05,9.56E-05,0.000556738,0.005863525,0.000954278,1.24E-05,5.34E-05,2.41E-05,0.000463282,0.000146479,0.000843801,3.24E-05,1.19E-06,0.000117255,5.47E-06,1.73E-05,2.07E-05,5.80E-05,1.48E-05,0.000121552,8.62E-05,2.67E-05,0.997967303,0.958937645,0.041062422,0.869356871,0.097479157,0.033163998,0.228859529,0.006264688,0.322350651,0.00645512,0.001909635,0.006266275,0.039889548,0.005435961,0.000278723,0.005108015,0.006491609,0.003514835,0.008823117,0.009066644,0.003024149,0.975571215,0.301316381,0.38472873,0.306690127,0.007264728
bottlenecks/Unlabelled Clothes/Bottoms/chinos658.jpg.txt,0.116297439,0.482644528,0.052264407,0.08232785,0.018846503,0.026945448,0.025105044,0.007990985,0.004876724,0.061019737,0.01728183,0.001081754,0.016493015,0.016413754,0.069378719,0.001032373,0.055128854,0.000195956,0.009159555,0.002949299,0.036772009,0.000935663,4.21E-05,0.000597172,4.95E-05,0.000178114,0.000776397,0.002700491,1.45E-05,0.008964102,0.000266983,6.99E-05,0.88119942,0.442501128,0.557498813,0.107633643,0.82910341,0.063263029,0,0,0,0.023642255,0.009642164,0.006798974,0.024760872,0.057483826,0.016046891,0.007047676,0.011486639,0.034897972,0.254131287,0.191690639,0.166331455,0.352948636,0.029545641,0.493292242,0.455166638,0.021995539
