bottleneck_dir,shoes-primary-color-white,shoes-primary-color-beige,shoes-primary-color-black,shoes-primary-color-brown,shoes-primary-color-grey,shoes-primary-color-blue,shoes-primary-color-navy,shoes-primary-color-teal,shoes-primary-color-green,shoes-primary-color-olive,shoes-primary-color-pink,shoes-primary-color-red,shoes-primary-color-maroon,shoes-primary-color-purple,shoes-primary-color-orange,shoes-primary-color-yellow,shoes-secondary-color-white,shoes-secondary-color-beige,shoes-secondary-color-black,shoes-secondary-color-brown,shoes-secondary-color-grey,shoes-secondary-color-blue,shoes-secondary-color-navy,shoes-secondary-color-teal,shoes-secondary-color-green,shoes-secondary-color-olive,shoes-secondary-color-pink,shoes-secondary-color-red,shoes-secondary-color-maroon,shoes-secondary-color-purple,shoes-secondary-color-orange,shoes-secondary-color-yellow,shoes-secondary-color-none,shoes-type-boat/loafer,shoes-type-boots,shoes-type-sneakers,shoes-type-sport,shoes-type-sandals,shoes-type-dress-shoes,shoes-type-casual-shoes,shoes-others-toe-cap,shoes-others-gum-sole,shoes-others-with-logo,shoes-others-high-cut,shoes-materials-leather,shoes-materials-canvas,shoes-materials-suede,shoes-materials-rubber
bottlenecks/Unlabelled Clothes/Shoes/shoes3224.jpg.txt,0.006625128,0.002110263,0.025033448,0.017894274,0.048686113,0.057041165,0.051131163,0.007090772,0.048232511,0.049796354,0.005475041,0.230831027,0.10998936,0.018197127,0.001848804,0.320017427,0.678852737,0.000849604,0.043055702,0.001597987,0.045504928,0.015312942,0.089722119,0.003174739,0.001358904,2.08E-05,0.001113796,0.107024431,0.005245492,0.000499833,2.00E-05,0.001452769,0.005193159,0.000144922,0.002379684,0.488420337,0.507441998,0.001354607,4.65E-05,0.000212018,0.071414441,0.139827788,0.980521321,0.101348683,0.01521074,0.058727585,0.436894834,0.006422325
bottlenecks/Unlabelled Clothes/Shoes/shoes2333.jpg.txt,0.075869069,0.03707226,0.143681556,0.072265551,0.168262854,0.069558002,0.030118892,0.029353313,0.114652976,0.073427096,0.030752134,0.039476216,0.024772577,0.014209044,0.031862546,0.044665892,0.413858831,0.013366904,0.06319733,0.012981738,0.095110901,0.07936351,0.102320351,0.018940732,0.011411955,0.004070368,0.002517432,0.011378736,0.013136739,0.00434677,0.00026444,0.011991005,0.14174223,0.000277187,0.021331199,0.359686375,0.605959833,0.006477922,0.000569477,0.005697983,0.034064416,0.112902805,0.869669974,0.242551819,0.251365989,0.037997522,0.129494458,0.00304987
bottlenecks/Unlabelled Clothes/Shoes/shoes162.jpg.txt,0.0134005,0.001857549,0.173995748,0.20204863,0.01232595,0.020132616,0.044164747,0.000937652,0.014637395,0.011708704,0.005522036,0.084641852,0.245958462,0.083471432,0.004396682,0.080800161,0.340696126,0.001905178,0.19935891,0.08990439,0.029062435,0.017704781,0.113396674,0.001641761,0.000728063,6.66E-05,0.000523936,0.00369439,0.001873608,7.20E-05,1.38E-06,0.002556981,0.196812704,0.012642772,0.200915411,0.600405514,0.158886999,0.007604207,0.004672824,0.014872246,0.01443023,0.05113034,0.430672586,0.301046401,0.193589926,0.016214483,0.056764212,0.012444841
bottlenecks/Unlabelled Clothes/Shoes/shoes2385.jpg.txt,0.00613133,0.001636377,0.248632953,0.587395251,0.124344662,0.000727033,0.003927667,0.00069084,0.002907221,0.005840306,0.002775251,0.000721714,0.01047728,0.00340904,0.00029266,9.04E-05,0.105986998,0.000551085,0.396336973,0.008286308,0.015669541,0.001380824,0.002201922,9.81E-05,0.000477753,0.00024315,0.000199879,0.000094891,0.000182846,6.06E-06,2.48E-08,0.000258717,0.46802485,0.365602136,0.01365224,0.043185588,0.0205754,0.058360986,0.294207901,0.204415679,0.025262747,0.007503322,0.048054099,0.069634847,0.482795864,0.017819522,0.087544225,0.099182941
bottlenecks/Unlabelled Clothes/Shoes/shoes193.jpg.txt,0.018453261,0.00001134,0.132596627,0.041267294,0.646077812,0.001527987,0.028954133,5.55E-05,0.000883648,0.002755119,0.00078009,0.002554214,0.122790374,0.000279447,3.26E-06,0.001009901,0.150936514,3.51E-07,0.66209358,0.00031434,0.005148906,0.004927514,0.158054799,2.65E-06,0.000465652,1.02E-05,5.38E-06,3.58E-05,1.07E-05,2.94E-10,5.33E-11,8.95E-05,0.01790414,0.570350051,0.007269705,0.09279421,0.11085245,0.109720871,0.104831599,0.004181046,0.200970069,0.000355553,0.29683277,0.007141704,0.012978857,0.042873532,0.104586743,0.14811042
bottlenecks/Unlabelled Clothes/Shoes/shoes2192.jpg.txt,0.00062721,0.000013983,0.947717667,0.03087513,0.008530741,0.000240213,0.005129512,0.000080211,0.000237413,0.001193147,0.000456268,0.000182682,0.004005546,0.000628028,2.03E-05,6.20E-05,0.093277864,3.24E-05,0.04437805,0.25141117,0.020544369,0.002707384,0.027261345,4.51E-05,0.000654373,0.000212775,0.000342408,7.96E-05,0.000912002,8.88E-06,4.33E-08,0.000871199,0.557261109,0.792061687,0.003237831,0.014112877,0.004487279,0.007967827,0.140732229,0.037400413,0.010082958,0.001701793,0.020645864,0.038348384,0.715738654,0.019169811,0.067237228,0.01704574
bottlenecks/Unlabelled Clothes/Shoes/shoes975.jpg.txt,0.091058768,0.00212811,0.451353103,0.17510429,0.06232382,0.012883134,0.00921347,0.012136589,0.012944751,0.026879229,0.003405247,0.088327222,0.028409824,0.000423202,0.004545578,0.018863594,0.426298827,0.000397002,0.062371098,0.162168562,0.02707234,0.00641136,0.182039842,0.000236907,0.001281275,0.000249753,0.000270624,0.001410201,0.000156464,2.21E-06,3.19E-07,0.003009033,0.126624182,0.007618805,0.04654352,0.717832089,0.118646547,0.069787651,0.004823741,0.034747671,0.072783664,0.033900991,0.305142462,0.675031424,0.035670176,0.258108467,0.096952744,0.149753511
bottlenecks/Unlabelled Clothes/Shoes/shoes1043.jpg.txt,0.001627164,0.003198046,0.010597077,0.051582255,0.005416138,0.018494109,0.008162419,0.004618449,0.017873444,0.037895553,0.00939053,0.524550021,0.031642877,0.029412987,0.032443412,0.213095516,0.347275794,0.021805016,0.145672157,0.006358173,0.098279066,0.01458123,0.15024288,0.054769874,0.003857485,7.46E-05,0.000749311,0.118326016,0.009019641,0.021738311,0.000721215,0.002742088,0.003787224,0.000111854,0.008966877,0.723021925,0.265662313,0.001324836,3.86E-05,0.000873534,0.046329595,0.11636591,0.99154985,0.293124855,0.005667009,0.044280708,0.774825513,0.016982971
bottlenecks/Unlabelled Clothes/Shoes/shoes2395.jpg.txt,0.000169056,0.000884374,0.005905545,0.035964064,0.001126663,0.003607351,0.000832035,0.003024836,0.003757397,0.024928471,0.001260798,0.799007297,0.07998728,0.007742915,0.006284877,0.025517106,0.422240913,0.004879754,0.192202836,0.012220092,0.069621489,0.013358971,0.059545193,0.05893407,0.003384335,0.00011279,0.000789741,0.046790853,0.049814448,0.050685596,0.001476388,0.004207765,0.009734726,0.000278857,0.08511027,0.583533704,0.32684052,0.000534546,0.000550678,0.003151491,0.017382113,0.085613892,0.924943626,0.193905398,0.037632261,0.00604807,0.826880634,0.001440472
bottlenecks/Unlabelled Clothes/Shoes/shoes2281.jpg.txt,0.004998979,0.00120866,0.034476183,0.19965373,0.001231521,0.005120504,0.00211918,0.01189616,0.031344313,0.232965991,0.003198203,0.021307385,0.038369685,0.00923295,0.000628517,0.402247965,0.345999897,0.001817844,0.047716603,0.337271035,0.082253784,0.100155965,0.037165515,0.004154918,0.015837777,2.61E-05,0.002846699,0.017557804,0.001626245,0.000120634,1.11E-06,0.002940542,0.002507509,0.000102751,0.005851295,0.898961723,0.084136426,0.009433863,3.87E-05,0.001475186,0.021487026,0.329800397,0.899894238,0.25688687,0.006113433,0.16467388,0.077660799,0.074238889
